"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108203,0.259644499172389,6.89564641958115,5.36204124969661e-12,3.60650894454594e-08
"ENSG00000141753",1005.36277308055,1.06511871147239,0.213913415358585,4.97920483241746,6.38460435668766e-07,0.00214714244515406
"ENSG00000080709",151.721432322865,-1.39317850560268,0.290908597502502,-4.78905923566145,1.67565016568805e-06,0.00348826629497987
"ENSG00000112379",1225.96069521652,-1.01655868451993,0.214191449174718,-4.74602832389782,2.07449675586076e-06,0.00348826629497987
"ENSG00000197956",382.769490214201,1.08630169959652,0.234876757411504,4.62498593546796,3.74623820451482e-06,0.00503943963271333
"ENSG00000064651",582.938022170355,-1.09370373008172,0.248177679962794,-4.40693832840118,1.04842023184956e-05,0.00881459309927521
"ENSG00000137673",568.670148975671,1.49954681875116,0.337831136914023,4.43874662486421,9.04842609395218e-06,0.00881459309927521
"ENSG00000187398",179.360215469883,-1.40443154773407,0.316764215031389,-4.43368120857623,9.2637575596911e-06,0.00881459309927521
"ENSG00000049759",1825.88767836883,-0.895199155241038,0.210152852712538,-4.25975257383518,2.04653322910999e-05,0.0107195866339176
"ENSG00000054690",1285.93442728543,-1.12168683023703,0.260989591966723,-4.29782207705834,1.72484526249849e-05,0.0107195866339176
"ENSG00000124406",303.492557189392,-1.10091451172063,0.25949580498317,-4.2425137153644,2.2103002866193e-05,0.0107195866339176
"ENSG00000139116",288.305883441427,-1.10043092397249,0.259511339734823,-4.24039629673579,2.2312550234143e-05,0.0107195866339176
"ENSG00000157214",2286.33549595393,-1.06930019185755,0.24758313764946,-4.31895403705369,1.56770424253166e-05,0.0107195866339176
"ENSG00000185499",104.193590008827,1.52425116383526,0.359132763194748,4.24425538420927,2.19320464076073e-05,0.0107195866339176
"ENSG00000099194",752.867957975323,-1.11710351685576,0.273858676425274,-4.07912406295652,4.52057087715263e-05,0.0198774126877269
"ENSG00000152377",2346.84918458364,-1.02277525452004,0.2513790983408,-4.06865670722329,4.72849543567692e-05,0.0198774126877269
"ENSG00000131844",1013.65833128334,-1.00970491194114,0.252101192496893,-4.00515722254499,6.19762456753834e-05,0.0239856249603169
"ENSG00000269936",628.566448829724,1.1581722538662,0.289770977622062,3.99685387187659,6.41898973068248e-05,0.0239856249603169
"ENSG00000184678",528.519728253467,-1.14062506466782,0.286591655728111,-3.97996606624837,6.89251061234531e-05,0.0243994875677024
"ENSG00000076706",360.737902879665,1.03749499083573,0.262680445081085,3.9496468437743,7.82665836917199e-05,0.0263210520955254
"ENSG00000127418",502.255091795122,-0.999590091343387,0.254655239226875,-3.92526811691802,8.66331891757589e-05,0.0277473728760073
"ENSG00000096006",1899.59683070287,-1.14007344879545,0.292677060590831,-3.89532902405803,9.80655178081962e-05,0.0279636750418052
"ENSG00000138696",499.972384302128,-0.962670706759609,0.246846373312004,-3.89987786266899,9.62412260925025e-05,0.0279636750418052
"ENSG00000146070",329.917734873209,-1.19081926570968,0.306746798021242,-3.88209191877926,0.000103561714560835,0.0279636750418052
"ENSG00000169710",2665.46226664455,-1.0378475042883,0.26740318952176,-3.88120839599726,0.000103938726738794,0.0279636750418052
"ENSG00000132386",343.688179787449,0.912584084572277,0.242619875534538,3.76137397054416,0.000168982559543936,0.0380895126482232
"ENSG00000134755",291.370287673754,-1.00567074377186,0.268673804076056,-3.74309191486036,0.000181769700463732,0.0380895126482232
"ENSG00000152270",208.750793468426,-1.01872756411033,0.27276769347509,-3.73478087207335,0.000187878704117228,0.0380895126482232
"ENSG00000157911",212.482733966187,-1.08493435578708,0.28590103890674,-3.79478983334854,0.000147768573435949,0.0380895126482232
"ENSG00000167757",486.151398298568,-1.16737308212881,0.311978967062314,-3.74183264058195,0.000182683164220686,0.0380895126482232
"ENSG00000210144",168.562972587604,1.18040550819668,0.316581024770642,3.72860473571296,0.000192542882848586,0.0380895126482232
"ENSG00000210194",265.540776931966,1.4219581216418,0.380587289912573,3.73622072867553,0.000186806704766111,0.0380895126482232
"ENSG00000230937",145.81082414064,1.29446064001896,0.346246120138451,3.73855637574033,0.000185079992377412,0.0380895126482232
"ENSG00000273179",200.747677445387,-1.40361998342572,0.375285787319867,-3.74013626641654,0.00018392051951317,0.0380895126482232
"ENSG00000157110",474.392854318024,0.934936049906834,0.251861993809173,3.71209659610335,0.00020554950675882,0.0395007423559949
"ENSG00000049089",487.041161736864,-0.905109192193771,0.245788101597311,-3.6824776558007,0.000230978118266168,0.043154411762729
"ENSG00000086205",1444.47387814427,-0.985987097935799,0.269139482091482,-3.66347995572294,0.000248811695143881,0.0432877361264029
"ENSG00000168280",721.182673798949,-0.909460055019325,0.247555159808428,-3.67376731603218,0.000239000391443468,0.0432877361264029
"ENSG00000182718",389.525685863652,0.916380951809508,0.250292640868929,3.66123809564736,0.000250999362017501,0.0432877361264029
"ENSG00000118849",187.408663080009,1.39896766341197,0.382894942211666,3.65365929184464,0.000258529274740276,0.0434716975475773
"ENSG00000249669",233.51379454187,1.08814903143449,0.30131888474338,3.61128719947714,0.000304681028223247,0.0499825511177941
"ENSG00000087245",526.021425485217,0.855008523531184,0.237576810905329,3.59887196175847,0.00031960048443133,0.0511817347210745
"ENSG00000198467",1965.60249333437,1.03169563786502,0.288937231634302,3.57065661641973,0.000356087463562201,0.0556987041841712
"ENSG00000012660",1413.86119163965,-0.848775515132902,0.238314256396053,-3.56158094764724,0.000368628417786552,0.0563498804098262
"ENSG00000163618",136.335780688985,-1.38356629119636,0.391305234437125,-3.53577251065029,0.000406584654455898,0.0607708530193415
"ENSG00000163431",806.211741717313,0.989804523418742,0.280739984289108,3.52569843560094,0.000422367619835987,0.060868540751447
"ENSG00000196353",832.805263244297,-0.801451337761113,0.227436793443904,-3.52384205574366,0.000425337706708,0.060868540751447
"ENSG00000211695",127.912510483319,-1.27827306045984,0.363420178089001,-3.51734201216201,0.000435891746788663,0.0610793310187614
"ENSG00000100097",459.288828193544,0.84116981104799,0.243001732411761,3.46157948216865,0.000537015522932692,0.0652041396584633
"ENSG00000106624",1289.68603143238,0.772326072671251,0.221221922521551,3.49118235601633,0.000480887907957131,0.0652041396584633
"ENSG00000134612",373.214817568784,-1.046759022648,0.301337745819658,-3.47370695231276,0.000513321332628908,0.0652041396584633
"ENSG00000159403",753.333247144179,0.885292678379579,0.255964558160895,3.45865335709133,0.000542883113421639,0.0652041396584633
"ENSG00000166006",186.3992534276,-1.42917222336418,0.412206224759961,-3.46712916379761,0.000526049044891213,0.0652041396584633
"ENSG00000188559",651.792613171271,-0.782584160432011,0.225051494789184,-3.47735597652925,0.000506385019478418,0.0652041396584633
"ENSG00000196586",942.764319172896,-0.916404292125114,0.262846258966515,-3.48646503750261,0.000489449356671297,0.0652041396584633
"ENSG00000244731",252.485219109494,1.05924133190043,0.305931666799747,3.46234616043775,0.00053548794584846,0.0652041396584633
"ENSG00000135480",270.573623980656,1.04093259150791,0.302444930008747,3.4417260407632,0.000578015320460454,0.0682058078143335
"ENSG00000151150",366.004554055654,-0.839180669708437,0.244603165315832,-3.43078417903908,0.000601839218799343,0.0697925963042134
"ENSG00000149131",635.102290072076,0.855132591705067,0.250366957994075,3.41551696180813,0.000636610645119757,0.0725736135436523
"ENSG00000149591",3515.76467994485,0.910687326939905,0.268018560623632,3.3978517190037,0.000679172215683816,0.0761352053781558
"ENSG00000140396",272.215245849093,-0.855079912690302,0.252130156903619,-3.3914226016889,0.000695307986185228,0.076666254345604
"ENSG00000079385",161.956452647947,0.977940308393501,0.289673321286293,3.37601096314621,0.00073544988630706,0.0797844505693756
"ENSG00000211896",1470.43375693867,-0.916222199592458,0.272108599912878,-3.36711959815238,0.000759577390341775,0.0810939290069648
"ENSG00000064393",855.159679579828,-0.788336822808845,0.23480250637173,-3.35744637052886,0.000786660024057561,0.0821825152051939
"ENSG00000188848",126.673214915264,-1.17032258613537,0.348849717565114,-3.35480445363104,0.00079421104495058,0.0821825152051939
"ENSG00000138439",175.22481952044,-0.930905205093035,0.27867438540592,-3.34047639052678,0.000836347913799887,0.0852314555790612
"ENSG00000143797",343.795638714232,-1.02829034300117,0.308618594908448,-3.33191311206059,0.00086251180557848,0.0865858866316546
"ENSG00000012223",2891.54248369776,2.3448796038191,0.710199205844785,3.30172096014928,0.000960936146597744,0.0904013833718052
"ENSG00000102287",346.811082870328,0.815947167287753,0.248334412231134,3.28567901627875,0.00101736871818747,0.0904013833718052
"ENSG00000138814",1570.73913157593,-0.697155313222114,0.210923685445285,-3.30524906081712,0.000948920350422114,0.0904013833718052
"ENSG00000152583",1898.66483103143,0.856318659702606,0.260623627240564,3.28565245127294,0.00101746466164635,0.0904013833718052
"ENSG00000154305",782.312475677318,-0.770048431889795,0.234054962528488,-3.29003249309901,0.00100175814057888,0.0904013833718052
"ENSG00000160191",481.606343061191,-0.866782914810732,0.262008970726035,-3.30821846446268,0.000938915353828322,0.0904013833718052
"ENSG00000171992",371.085931772201,0.781917077791454,0.238059735094145,3.28454149326106,0.00102148455787351,0.0904013833718052
"ENSG00000185215",502.468904872602,0.957675106768052,0.290416833544897,3.29758814280302,0.000975190612071226,0.0904013833718052
"ENSG00000205542",734.161793799633,0.786080155300558,0.238561791192198,3.2950798674514,0.00098393710648778,0.0904013833718052
"ENSG00000215105",303.70731260551,-0.835882818936907,0.255424122475098,-3.27252888582753,0.00106589980277442,0.0931070399150744
"ENSG00000184012",3783.53982105121,-0.939422508487507,0.287873619800033,-3.2633157186826,0.00110116772192943,0.0949545397140682
"ENSG00000173442",435.331022095894,0.78471590311919,0.241022453325898,3.25577925330525,0.0011308163272535,0.0962768432545199
"ENSG00000157388",405.682893021066,-0.908266935646374,0.279600670720773,-3.24844333636606,0.00116038317942314,0.0963547810469141
"ENSG00000198959",1596.20197573563,0.984294610148705,0.302843191221404,3.25017909822877,0.00115332349844141,0.0963547810469141
"ENSG00000169991",120.742865337032,0.98953362991518,0.305004440659845,3.24432532121312,0.0011772920158305,0.0965666597375118
"ENSG00000108691",220.456870161322,1.05586003553715,0.328814893277213,3.21110769957427,0.00132224369489192,0.107149531227024
"ENSG00000162645",237.844138109331,0.888916677585938,0.277680592983104,3.20122003499188,0.00136846987622536,0.10957533794633
"ENSG00000072163",233.11052862094,0.951729642689247,0.299295559273256,3.17989897678476,0.00147326403587918,0.116578516533216
"ENSG00000205189",338.875094462866,-0.840662783592255,0.266795269483472,-3.15096585190516,0.00162731514958721,0.127271182513065
"ENSG00000120885",928.299452747477,0.832189750908038,0.26540574337788,3.13553783846787,0.00171539297672392,0.131110604107331
